brickid,brickname,objid,type,ra,dec,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
40032,3277m617,5422,SER,327.7082559427775,-61.74427202772307,10.114382,11.197265,10.687449,4.3054733,398.31613,292.29446,274.29688,35.120144
40032,3277m617,5477,SER,327.7101280605321,-61.74463917687347,8.991003,18.015165,23.884108,30.575014,342.298,241.17043,212.69704,26.99458
40032,3277m617,5471,SER,327.709980066331,-61.74423853155358,90.9745,207.44452,293.6313,393.7759,145.48146,94.7421,99.27194,13.908401
40032,3277m617,5493,SER,327.7105913759385,-61.74406557342292,126.97787,244.36449,308.68506,385.6983,145.12944,97.91471,102.44171,14.40923
40032,3277m617,5442,SER,327.7088866696533,-61.72467840426133,44.862595,64.52549,74.64212,82.236435,255.2165,200.65707,146.7382,18.123564
107154,3302m427,2692,SER,330.1992011459938,-42.8161065802666,23.987667,33.450577,38.47386,39.459766,39.27711,26.404505,6.723583,1.101059
107154,3302m427,2697,REX,330.1994831215273,-42.81518002453856,11.437776,18.163671,21.49425,24.038801,224.43791,170.19022,39.42371,6.3568726
107154,3302m427,9888,DUP,330.1681514103075,-42.81843853143191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107154,3302m427,1775,SER,330.1682493429522,-42.81854129533422,134.06259,228.44183,292.81754,335.52768,95.54991,59.251698,23.017786,4.6531215
107154,3302m427,2097,SER,330.1795053822761,-42.82100823154591,7.549397,6.9273624,5.6221104,3.010685,327.86096,372.41666,90.59469,27.334854
107154,3302m427,2132,SER,330.1806055696276,-42.82142188853504,245.7802,496.0742,669.94995,865.1261,42.24691,40.848976,9.783035,4.087623
107154,3302m427,2160,SER,330.1813108639857,-42.82206652403057,14.125854,16.188366,14.719096,10.025099,209.55284,233.16937,63.386692,23.994656
107154,3302m427,3065,SER,330.211453243805,-42.8283383241871,174.17264,303.5511,387.4363,441.64426,64.6946,38.674576,12.346817,2.2314353
202549,3305m230,8923,SER,330.631731500646,-22.89039450123974,301.86926,638.82007,880.71783,1120.4554,88.78732,43.23414,5.782979,1.844861
202549,3305m230,13251,DUP,330.6317468517943,-22.89038742930997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202549,3305m230,13250,DUP,330.6068842176135,-22.88645268623148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202549,3305m230,7771,SER,330.6068778963214,-22.88643238300559,253.05203,516.54425,701.1548,887.8787,257.07355,128.37581,18.00909,6.6365137
202549,3305m230,9496,SER,330.6447063192833,-22.90133353679436,3.381887,4.922946,5.357437,6.5877557,2079.0532,1131.6552,137.01157,33.65009
202549,3305m230,9502,REX,330.6448439367783,-22.90050394610396,72.31813,118.60847,144.60512,167.13072,374.3379,196.84734,24.08114,5.8468885
202549,3305m230,9486,SER,330.6445256356814,-22.89977708043141,2.2188594,2.7182207,2.7296417,2.6483471,3923.4812,2299.294,286.83087,75.20498
202549,3305m230,9545,DEV,330.6456539508276,-22.90083599222768,1.0483683,1.0977573,0.881771,0.6637296,4087.664,2543.0342,329.1936,90.044815
53299,3321m572,4376,SER,332.1291946514334,-57.30171219464453,255.10037,387.41928,472.64236,504.36368,56.78262,26.12939,4.335609,2.3388445
53299,3321m572,4445,SER,332.1321567400203,-57.28301894705007,29.882965,40.588886,45.004642,49.186466,292.58472,138.0958,29.416075,17.743309
53299,3321m572,4713,REX,332.1452160547616,-57.29415715349501,5.148848,7.7374477,5.071096,3.7913764,217.76756,111.22301,21.638336,12.902606
53299,3321m572,4717,REX,332.1453394502563,-57.29395170459528,120.30717,150.25644,198.07845,196.80536,266.05148,156.96971,35.774487,26.604622
53299,3321m572,4214,SER,332.121431693047,-57.27788738334377,1.1562773,2.1997402,2.9281604,3.6822588,720.7814,310.73764,85.40822,36.67455
53299,3321m572,4211,SER,332.1212838678745,-57.27773774592522,71.847115,106.06892,125.00758,137.48213,74.1926,30.573282,6.1560044,2.4891057
432378,3323p177,780,SER,332.2560984635155,17.8213140152595,678.30554,1255.3694,0.0,2116.9524,10.083075,1.9681817,0.0,1.359928
432378,3323p177,7337,DUP,332.2561147626935,17.82129467021664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432378,3323p177,7338,DUP,332.2606112461009,17.83858703087876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432378,3323p177,894,SER,332.2606291955395,17.83857412430546,842.3921,1552.47,0.0,2598.996,10.386585,2.5991476,0.0,1.6274103
432378,3323p177,512,SER,332.2461918291145,17.83917469598742,4.761415,3.7491465,0.0,-0.4186341,376.61273,110.54022,0.0,32.73404
432378,3323p177,545,SER,332.247120157879,17.8391415995514,156.99516,327.57428,0.0,576.8903,30.067577,7.1226516,0.0,3.4133358
432378,3323p177,541,SER,332.2469772683658,17.84011608705378,4.193498,3.8132732,0.0,0.15435493,433.48117,124.20671,0.0,37.709362
432378,3323p177,1405,SER,332.2784720715445,17.82663051691459,61.21792,84.06577,0.0,103.87743,87.58252,21.864037,0.0,6.9430275
195951,3346m242,3098,SER,334.6639509486999,-24.17093920143219,355.822,792.97205,1183.8628,1665.1453,45.769543,26.124231,2.4706461,4.7716975
195951,3346m242,3721,SER,334.6864028586588,-24.19869772673049,47.952522,72.25154,85.2046,96.50429,250.47452,156.20346,5.4568973,27.289862
195951,3346m242,3737,SER,334.6869483624366,-24.19873788990672,6.974641,7.9591126,9.600957,9.81816,432.56366,275.68097,8.877803,42.046593
