Group,Gal,zmemb,ra,dec,logSFR_NUV,logSFR_FUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,m_g_corrected,m_r_corrected,m_i_corrected,m_z_corrected,ebv,e_mag_g,e_mag_r,e_mag_i,e_mag_z,FUV_corrected,NUV_corrected
162,4,0.070224,222.7341134985892,21.73695668393236,0.3965702161810185,0.29723208252215017,244.0008,9.9548,264.1949,,0.0,0.0,304.3206,,4.35,0.0482,3.3845,,0.0,0.0,8.3618,,16.73267730656378,15.838836439502858,,15.144531038323127,0.032834783,0.0011532838579613731,0.0010353073464422072,Infinity,0.0010791095673275484,20.030650074731348,19.27974953398181
162,2,0.070224,222.698087709932,21.75550980625253,0.2066794028414325,0.2545354489362577,13.151,0.7852,12.9758,0.8702,0.0,0.0,12.6278,1.039,0.0648,0.007,0.0641,0.0073,0.0,0.0,0.1603,0.0206,18.99776062755231,18.70770629600084,,18.453973619250284,0.032372277,0.005158602380866429,0.006477725526384796,Infinity,0.01145650031378583,20.18206629550872,20.141478263106574
162,1,0.070224,222.6836429206116,21.75444834306291,0.19898737674097156,0.4164115032190292,2.4171,2.8208,2.683,2.6648,0.0,0.0,3.2112,2.3548,0.0071,0.0262,0.0065,0.0177,0.0,0.0,0.0163,0.0388,18.587134001688007,18.146780606357197,,17.792112555125254,0.03202837,0.001626059912855084,0.0019991115457831817,Infinity,0.0025074168872851665,19.77737615980179,20.160708328357725
162,3,0.059624,222.7211992797918,21.74704962514413,,0.3723517800130427,14.1769,1.1586,13.5345,1.426,0.0,0.0,12.2581,1.9574,0.0143,0.0021,0.0114,0.0019,0.0,0.0,0.0241,0.0048,,,,,0.0327821,Infinity,Infinity,Infinity,Infinity,19.53220319142323,
164,1,0.07397,226.257393613647,8.709469189893905,1.1620102757173782,1.112395161946564,14.6275,1.332,14.487,1.4363,14.353,1.5357,14.2079,1.6434,0.0111,0.0015,0.0072,0.001,0.0095,0.0013,0.0157,0.0021,16.549357463239364,15.963024189594066,15.621027425292576,15.48493826504063,0.033906676,7.7402353902254E-4,7.470624280743639E-4,0.0013969769040215584,7.454249726709716E-4,18.979471351593517,17.992394993264316
164,2,0.07397,226.2709126721782,8.731861193811778,0.5462417834940112,0.6296959915662939,16.1665,1.6922,14.7062,2.4875,13.3129,3.2465,11.8046,4.068,0.0733,0.0142,0.0485,0.0111,0.0599,0.0192,0.0972,0.0315,18.741162492686016,17.79661188239761,17.347042311561417,17.06185783518968,0.03479361,0.003359124898026135,0.002644866350255301,0.0035993964180244774,0.002203382692527604,19.844332379351957,20.384627793747097
164,3,0.073949,226.2740593596376,8.71686874945827,0.11238078535746254,0.1616621476789728,7.1944,1.285,6.9613,1.4255,6.7388,1.5595,6.498,1.7047,0.009,0.0039,0.0061,0.0027,0.007,0.0035,0.011,0.0055,17.87935878653811,17.18305668847196,16.844059449317257,16.654029414090147,0.034626346,0.0013569521668056242,0.0012348910789567581,0.0015178049663939154,0.0011343358361329446,19.76078589740414,19.88488106936981
164,4,0.07397,226.2860016960066,8.741545801688666,0.5358232135773395,0.5799161882596149,8.3616,0.3969,8.364,0.4697,8.3663,0.5391,8.3688,0.6142,0.0138,0.0039,0.0113,0.0026,0.0153,0.0042,0.023,0.0071,18.596629903647855,18.32694471221544,18.030193120484864,18.084256195629635,0.034757935,0.002801118108049362,0.0033388360212458254,0.004230678773825503,0.004205696003944097,19.481464723205367,19.431469012271855
165,4,0.05849,226.9098608436222,28.81407667194163,0.6525140888401797,0.7140626361670375,9.4223,1.1659,9.0345,1.3962,0.0,0.0,8.2639,1.8537,0.0125,0.003,0.0095,0.0024,0.0,0.0,0.0225,0.0065,17.69362113248623,16.825468517166044,,16.174677643563253,0.027293438,0.00134269839287597,0.0012775082168976256,Infinity,0.0014969955651094602,20.180918322575984,20.53220361657083
165,1,0.05809,226.8570453536956,28.84742332859366,0.01180301693940855,0.06621544267448343,19.7206,0.5923,19.7389,0.9762,0.0,0.0,19.7753,1.7389,0.0495,0.0047,0.0582,0.0053,0.0,0.0,0.1618,0.0165,18.44066239231728,17.876637769294913,,17.42071242510213,0.025849871,0.003431722233187222,0.0036769642857274933,Infinity,0.005374579001512596,19.752314132173524,19.894564813005964
