Group,Gal,zmemb,ra,dec,logSFR_NUV,RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z,ebv
48,1,0.0958,45.03859046574656,-36.38120277446424,0.6075905992393569,22.8317,1.6369,22.2581,1.9212,21.7107,2.1925,21.1183,2.4861,0.0607,0.0049,0.0355,0.0026,0.0476,0.0038,0.0837,0.0071,17.603607,16.967686,16.672739,16.496552,0.017747942
48,2,0.0958,45.04357933448144,-36.35840573048463,0.8171105992393546,nan,0.8026,nan,1.9497,nan,3.0442,nan,4.2291,nan,0.2133,nan,0.2447,nan,0.2797,nan,0.3211,16.95178,16.213886,15.861064,15.632906,0.017829526
54,3,0.10668,52.95790597526705,-39.63148912885078,-0.050094404882058186,7.2915,0.6596,7.6421,0.7665,7.9768,0.8686,8.339,0.9791,0.0128,0.0036,0.0075,0.0021,0.0103,0.0027,0.0182,0.0047,18.870413,18.23847,17.857872,17.689585,0.016806008
54,2,0.10668,52.94671752743711,-39.6313705245943,0.6872255951179422,nan,6.8806,1.0787,nan,2.0818,nan,3.1676,nan,nan,0.4131,0.0081,nan,0.0174,nan,0.0277,nan,17.607847,16.956852,16.610266,16.43036,0.016637748
54,1,0.10668,52.93920447662241,-39.61423111947493,0.48126559511794476,7.8124,1.289,7.9009,1.3441,7.9854,1.3966,8.0769,1.4535,0.0186,0.0064,0.0114,0.0038,0.0135,0.0043,0.023,0.0073,18.27935,17.799269,17.521955,17.419886,0.016788945
56,3,0.1064,53.44363247558491,-30.33458516543448,1.0053028370003254,21.317,1.1995,20.1592,1.4842,19.0545,1.7559,0.0,0.0,0.0258,0.002,0.0167,0.0013,0.0273,0.0024,0.0,0.0,17.020576,16.335377,15.985091,15.758918,0.014927684
56,2,0.1061,53.43844343605756,-30.3025939673689,0.41681034888495105,7.5607,0.9351,7.4569,1.0463,7.3578,1.1523,0.0,0.0,0.0129,0.004,0.0089,0.0027,0.0152,0.0047,0.0,0.0,18.699484,18.21503,17.95373,17.855827,0.01512724
56,4,0.1064,53.44537476493722,-30.30588441877911,0.7336228370003255,6.4792,3.808,6.5357,3.9744,6.5896,4.1331,0.0,0.0,0.0275,0.0194,0.0148,0.0097,0.0233,0.0152,0.0,0.0,18.119978,17.32826,16.883736,16.705626,0.01508493
56,1,0.130297,53.43533681994836,-30.31760628997305,0.8541684140662316,10.5565,0.938,9.7433,1.3097,8.9675,1.6643,0.0,0.0,0.0072,0.0017,0.0045,0.0011,0.0068,0.002,0.0,0.0,17.2316,16.461126,16.006569,15.789189,0.015213116
60,1,0.004923,55.61115773427836,-41.1554598853192,-2.1264807473722227,23.3625,0.3164,23.3892,0.4288,23.4147,0.536,23.4423,0.652,0.0222,0.0018,0.0177,0.0012,0.029,0.0022,0.0468,0.0039,18.722605,18.39752,18.28644,18.20053,0.016171342
60,4,0.004923,55.63225419210978,-41.14952251705099,-2.00756074737222,8.0505,0.8975,13.9151,2.3278,19.5108,3.6925,25.5681,5.1699,0.0244,0.0061,0.0973,0.0133,0.1888,0.0249,0.2889,0.038,17.983545,17.540854,17.329906,17.268105,0.01602056
60,2,0.004923,55.61118847941587,-41.14467798349656,-0.8411607473722249,nan,nan,0.9155,nan,1.6865,nan,2.5211,nan,nan,nan,0.0074,nan,0.0185,nan,0.0311,nan,14.856407,14.359839,14.138651,14.059103,0.016196558
61,1,0.030718,56.42341185017834,-12.30330804051288,0.22360545319969383,107.1812,0.3639,108.0509,0.3707,108.8808,0.3771,109.7792,0.384,0.0844,0.0009,0.0633,0.0005,0.0836,0.0008,0.1295,0.0015,16.721529,16.428354,16.232227,16.198898,0.06215981
61,4,0.030718,56.430349879522,-12.26294740384917,0.17008545319969137,24.1887,3.9117,24.8707,3.8468,25.5215,3.785,26.2259,3.718,0.0322,0.0039,0.0197,0.0025,0.0257,0.0026,0.0439,0.0042,17.052488,16.551346,16.375135,16.196642,0.063901246
61,3,0.030718,56.42954445264876,-12.29587363496046,0.66580545319969,7.7468,7.3857,7.4501,6.2939,7.167,5.2521,6.8605,4.1243,0.0478,0.0377,0.0276,0.0223,0.0192,0.0132,0.0331,0.0211,15.285931,14.804122,14.574005,14.480075,0.06231305
61,2,0.030718,56.42748324186661,-12.27369585735638,0.009605453199691638,12.4697,0.7208,12.0831,0.8355,11.7143,0.9449,11.3151,1.0634,0.0084,0.0016,0.0054,0.001,0.0067,0.0013,0.0111,0.0022,17.486998,16.99238,16.72363,16.483425,0.06335367
65,3,0.014563,67.54549287179941,6.94415958300997,0.36364128010752594,15.0621,0.5867,15.0824,0.6006,15.1017,0.6139,15.1226,0.6283,0.0211,0.0032,0.0156,0.0019,0.0182,0.0023,0.0272,0.0038,15.008377,14.340824,14.061264,13.859221,0.20575655
66,1,0.067166,70.52219347840752,-23.24916053708371,0.5655185513240042,28.1906,2.2937,26.875,2.621,25.6198,2.9333,24.2609,3.2714,0.0349,0.0028,0.0204,0.0015,0.0264,0.0021,0.0463,0.0039,20.245789,20.067642,20.010529,19.960915,0.045358613
66,2,0.067166,70.54116695597808,-23.23700230467508,0.7857985513240067,14.2687,1.9614,13.6044,1.9841,12.9705,2.0057,12.2844,2.0291,0.0137,0.0024,0.0081,0.0013,0.0102,0.0016,0.0178,0.003,20.650915,20.46947,20.466743,20.686737,0.046029452
