brickid,brickname,objid,type,ra,dec,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z
159150,0310m312,878,SER,30.9478588830863,-31.16082085071439,244.672,105.85219,59.97985,34.612843
179283,0363m272,324,SER,36.23039555650625,-27.2663842386504,162.54773,96.22414,46.163578,12.282911
179282,0360m272,10425,SER,36.20343290406262,-27.27524056031157,1913.7528,1177.9272,557.18066,127.20962
179282,0360m272,10448,SER,36.20420687265285,-27.2753540644782,170.61516,82.81213,31.048864,7.008188
179282,0360m272,10608,SER,36.2089162292208,-27.28800563203144,104.54082,50.369774,20.45532,5.1762633
179283,0363m272,594,SER,36.23762611853194,-27.29106105818948,547.442,275.01526,115.8428,32.12567
179283,0363m272,585,DEV,36.23739194542186,-27.29039724279074,1484.5339,820.09485,448.024,105.62865
179283,0363m272,610,DEV,36.23801027176443,-27.29013761456291,234.28598,129.75342,70.960915,23.705608
179283,0363m272,606,SER,36.23788994044383,-27.28941003964836,1454.9811,698.74207,328.2392,76.58795
213515,0404m207,5554,SER,40.45548347271463,-20.81498328999302,24.945236,17.188547,11.382698,21.88281
213515,0404m207,5289,SER,40.44927762952605,-20.79883391234892,13.154395,6.8495965,2.975948,3.1018834
213515,0404m207,5775,SER,40.46024699097511,-20.81220742929486,45.52823,30.876762,17.530212,24.461338
213515,0404m207,11715,DUP,40.460263804771,-20.81214983300428,0.0,0.0,0.0,0.0
213515,0404m207,5824,SER,40.46122697558593,-20.81201740303051,759.53357,647.05383,396.1818,506.22665
213515,0404m207,6338,SER,40.47213910499156,-20.81537556564252,60.876537,37.597206,15.317429,17.379377
109505,0434m420,6651,SER,43.45430953410411,-41.95596963694773,191.93169,95.81933,39.468204,11.586166
109505,0434m420,6610,SER,43.45328850894474,-41.96649072958697,304.7492,159.00874,78.45898,20.782059
109505,0434m420,6596,SER,43.45247260477683,-41.96617883349643,1668.185,1146.73,497.3792,147.05804
109505,0434m420,6618,PSF,43.45358719673707,-41.96583911205295,3118.218,2453.8047,910.10974,294.1179
109505,0434m420,5859,PSF,43.43104122666755,-41.97763709091741,2240.1267,2105.2866,764.8764,320.20242
109505,0434m420,5871,SER,43.43166948705896,-41.97722464626543,222.17792,133.29543,62.337914,21.041481
109505,0434m420,6990,SER,43.46510686074172,-41.97949312861047,132.06075,71.92239,37.103317,13.269245
109505,0434m420,7024,SER,43.46576927367081,-41.97883212737809,742.19275,488.90317,254.9866,103.45132
134069,0451m365,1193,SER,45.03859046574656,-36.38120277446424,60.42388,27.729614,23.384674,4.226627
135229,0450m362,6568,SER,45.04357933448144,-36.35840573048463,72.35536,34.90559,28.192934,5.713446
120459,0528m395,11742,SER,52.94002625086457,-39.61398672187441,229.19019,345.35638,122.60276,36.625988
120459,0528m395,11713,REX,52.93920447662241,-39.61423111947493,58.740643,80.58416,37.244213,10.971454
119349,0530m397,2328,SER,52.94671752743711,-39.6313705245943,85.648605,55.789833,27.75034,9.578214
119349,0530m397,2311,SER,52.94616640205726,-39.63070918817627,808.81836,667.4037,253.85655,107.3097
119349,0530m397,2641,SER,52.95864728116349,-39.63215991123788,1029.2119,882.72205,311.52533,102.55956
119349,0530m397,2618,SER,52.95790597526705,-39.63148912885078,278.93222,195.68352,88.67635,31.552418
164182,0533m302,10501,SER,53.44363247558491,-30.33458516543448,50.007385,29.065863,11.87801,3.646584
164182,0533m302,10825,DUP,53.44365882449642,-30.33459278307329,0.0,0.0,0.0,0.0
164182,0533m302,10312,EXP,53.43775268551062,-30.30248357857849,2119.6106,1541.184,537.3163,158.80797
164182,0533m302,10337,SER,53.43844343605756,-30.3025939673689,347.4533,229.95374,90.98413,31.37498
164182,0533m302,10340,SER,53.43855986044477,-30.30182016415476,1597.6161,1087.7957,371.9047,121.15528
164182,0533m302,10555,EXP,53.44522987824904,-30.30639663218725,1881.6217,1046.6204,559.77997,190.8203
164182,0533m302,10561,SER,53.44537476493722,-30.30588441877911,213.61147,124.32957,58.637455,24.598326
164182,0533m302,10567,EXP,53.44548407199838,-30.30536407500952,1714.5648,1187.1,492.6812,173.93312
164182,0533m302,10222,SER,53.43533681994836,-30.31760628997305,99.51579,58.55089,30.08015,9.425625
164182,0533m302,10237,SER,53.43568581601659,-30.31738052461002,291.36942,202.49843,105.66097,28.093071
112777,0555m412,10499,DUP,55.61171965579581,-41.14497144626714,0.0,0.0,0.0,0.0
112777,0555m412,7950,PSF,55.61196624659973,-41.14482695760103,581.1216,537.0866,222.0335,151.41307
112777,0555m412,7925,SER,55.61118847941587,-41.14467798349656,15.651069,10.406095,2.6525784,1.7378578
112777,0555m412,7910,PSF,55.61064680976601,-41.14423575811074,537.6612,563.9996,273.65573,156.6202
112777,0555m412,8577,SER,55.63225419210978,-41.14952251705099,178.7153,110.1082,25.214687,11.23521
112777,0555m412,7945,EXP,55.6118997116814,-41.15596946901222,2977.6118,1942.9169,491.98633,180.51505
112777,0555m412,7899,EXP,55.61029481980085,-41.15600237596338,808.9956,449.87473,95.05525,39.440964
112777,0555m412,7924,REX,55.61115773427836,-41.1554598853192,361.5913,208.49103,48.341797,22.567593
