galaxy_id,NYU_id,z_source_id,ra,dec,z,r,r_limit,completeness,M_r,stellar_mass,g-r
256920,708465,-1,56.837614756,0.933113958,0.0704,17.3041,17.7880001,0.9587,-19.3629322,9.66395,0.4542675
8750,51173,-1,242.446244875,-0.018501184,0.080469,16.3135014,17.6658001,0.808,-20.6248055,10.6361647,0.9444981
8753,51180,-1,242.544477745,-0.176941643,0.069359,16.0506001,17.6658001,0.808,-20.5525894,10.6078005,0.9536304
256951,708558,-1,57.674728709,1.040749113,0.037114,14.5717001,17.7880001,0.9587,-20.6376915,10.5969257,0.8992844
8669,51012,-1,237.973572156,-0.064859618,0.089117,16.7483006,17.6658001,0.8824,-20.4205456,10.591959,0.9460278
9721,54330,-1,209.242409592,-1.101712377,0.030573,16.7813015,17.7224998,0.9052,-18.053009,9.2343531,0.5240402
10808,57279,-1,216.420060538,-0.660571739,0.050023,17.5526009,17.7157001,0.8632,-18.3727722,9.2233791,0.3613091
8474,46852,-1,56.499094527,0.972461508,0.162139,16.8695011,17.6917,0.9826,-21.7002907,11.1840219,1.0243988
9367,53660,-1,189.393475667,-1.245808822,0.135349,16.4042015,17.7224998,1.0,-21.7385406,11.1655264,1.0217438
8622,50826,-1,246.695640032,-0.510108011,0.044508,16.3703003,17.6604004,0.7826,-19.306036,9.6361065,0.4298935
9322,53584,-1,185.635358236,-1.209904986,0.04932,16.5237999,17.7224007,0.8698,-19.3723736,9.636096,0.4202156
22107,86566,-1,197.242158996,0.310133953,0.081231,17.5601006,17.7007999,0.927,-19.4022617,10.0829277,0.8711185
9345,53622,-1,187.494540763,-1.210281963,0.080539,17.5379009,17.7224007,1.0,-19.4061184,10.0699692,0.837225
9059,52032,-1,240.015527809,0.701622852,0.155937,17.5314007,17.6716003,0.9085,-20.9505272,10.920208,1.0784931
9787,54458,-1,213.25521091,-1.124108058,0.076864,15.5637999,17.7698994,0.8462,-21.2720032,10.9118557,0.9003849
14711,67076,-1,225.959551842,0.565424402,0.02252,17.7097015,17.7134991,0.9,-16.4434586,8.4424086,0.3228569
31034,109205,-1,47.396671014,-7.957233111,0.012716,16.5130997,17.6842003,0.8596,-16.3106594,8.4371462,0.4215422
10751,57116,-1,213.454656017,-0.775200119,0.119527,15.8808994,17.7157001,0.947,-21.9719639,11.2435379,1.0256023
10643,56931,-1,206.470156743,-0.768753044,0.148742,16.453001,17.7155991,0.9401,-21.9143581,11.2334585,1.0144711
9338,53610,-1,187.174648081,-1.143758367,0.042711,17.7173004,17.7224007,0.8451,-17.8592339,8.9985924,0.348238
9872,54621,-1,226.213116446,-1.105486914,0.036101,17.4698009,17.7658997,1.0,-17.729599,9.0218878,0.3950615
8622,50826,-1,246.695640032,-0.510108011,0.044508,16.3703003,17.6604004,0.7826,-19.306036,9.6361065,0.4298935
9322,53584,-1,185.635358236,-1.209904986,0.04932,16.5237999,17.7224007,0.8698,-19.3723736,9.636096,0.4202156
8754,51181,-1,242.610627048,-0.200512862,0.119815,17.5151997,17.6658001,0.808,-20.3228302,10.4322176,0.7847233
256887,708092,-1,57.899895456,0.090739024,0.134488,17.5122013,17.7798996,0.9587,-20.5942612,10.412818,0.7388859
8238,45656,-1,44.288792331,0.893492592,0.072499,17.4025002,17.6499004,0.9565,-19.3186893,9.7907448,0.5966492
8861,51486,-1,237.79941025,0.297329851,0.03354,16.0007,17.6767006,0.8824,-18.9890404,9.7634363,0.6868896
256962,708625,-1,58.42783044,0.932006712,0.036937,16.3185005,17.7880001,0.9587,-18.8838501,9.8794613,0.8778133
8665,51004,-1,237.595975671,-0.006639839,0.083041,17.5606003,17.6658001,0.8824,-19.4594135,9.8907766,0.5966778
8749,51172,-1,242.44633026,-0.08433306,0.06998,16.9568005,17.6658001,0.808,-19.6665478,10.2181759,0.9045906
8785,51234,-1,243.583203908,-0.031562947,0.030811,15.1700001,17.6658001,0.8473,-19.627882,10.2057285,0.9137402
20292,81978,-1,189.522234565,-0.0270188,0.01251,13.8479996,17.7064991,0.9438,-18.8968029,9.9107819,0.7773533
