Group,Gal,zmemb,ra,dec,logSFR_NUV,log_sSFR,log(M_stellar),RE_g,n_g,RE_r,n_r,RE_i,n_i,RE_z,n_z,e_RE_g,e_n_g,e_RE_r,e_n_r,e_RE_i,e_n_i,e_RE_z,e_n_z,mag_g,mag_r,mag_i,mag_z
165,4,0.05849,226.9098608436222,28.81407667194163,-0.21025717619109052,-10.711343935286422,10.501086759095331,19.6879,0.5895,19.2629,0.8892,0.0,0.0,18.4184,1.4847,0.0481,0.0048,0.05,0.0049,0.0,0.0,0.1342,0.0151,17.5652,16.77161,,16.159672
165,1,0.05809,226.8570453536956,28.84742332859366,0.022782334034724627,-9.650947835286418,9.673730169321143,nan,3.3192,nan,3.3589,0.0,0.0,nan,3.4377,nan,1.0659,nan,1.6247,0.0,0.0,nan,4.2624,18.375902,17.836695,,17.422297
168,2,0.032967,228.1551079683782,26.57635339860423,-0.22982156270999177,-9.056275235286417,8.826453672576426,23.0896,1.108,24.3621,1.1616,0.0,0.0,26.8907,1.2681,0.0443,0.0033,0.0484,0.0031,0.0,0.0,0.1383,0.0087,17.932604,17.65272,,17.463137
168,3,0.032967,228.1697898704123,26.57489943229878,0.058858437290007615,-8.661823035286416,8.720681472576423,14.485,1.376,14.3798,1.3788,0.0,0.0,14.1707,1.3842,0.029,0.004,0.0291,0.0038,0.0,0.0,0.0806,0.0105,17.968416,17.717192,,17.582083
168,4,0.033404,228.187522824389,26.58034235816466,-0.35558346889261294,-9.412540635286419,9.056957166393806,0.6293,0.2703,nan,1.1963,0.0,0.0,nan,3.0363,0.0764,0.157,nan,0.328,0.0,0.0,nan,0.6721,18.152845,17.700058,,17.40414
170,4,0.081006,230.1988059847707,30.45536469076909,0.601013956379969,-10.499906835286417,11.100920791666386,17.368,1.6866,18.0502,1.9736,0.0,0.0,19.4057,2.5438,0.0314,0.0035,0.0254,0.0027,0.0,0.0,0.0671,0.0068,16.488264,15.744322,,15.186201
170,1,0.081006,230.157390605461,30.47844068127143,0.2973339563799726,-9.80791673528641,10.105250691666383,14.0293,0.6771,14.4971,0.7944,0.0,0.0,15.4266,1.0276,0.0062,0.0006,0.0063,0.0006,0.0,0.0,0.0162,0.0015,18.290657,17.698519,,17.238333
170,3,0.080169,230.1779676599777,30.4613786498883,0.4227525138703925,-9.82926333528642,10.252015849156813,6.3069,1.6527,5.7624,1.7701,0.0,0.0,4.6805,2.0034,0.0148,0.0099,0.0101,0.0071,0.0,0.0,0.0208,0.0177,17.648724,17.092926,,16.688206
171,4,0.112916,230.961707942046,2.665967989545834,0.8895305511922054,-9.545128135286413,10.434658686478619,11.1392,6.8773,9.6354,6.3003,8.2006,5.7497,6.6474,5.1537,0.1639,0.0782,0.0949,0.0472,0.0612,0.0392,0.1051,0.0642,17.693521,17.228668,16.91322,16.821127
171,3,0.112833,230.9601570421855,2.672556271922697,0.4873318516874914,-10.27805743528642,10.765389286973912,13.4541,2.1125,13.8775,1.9715,14.2815,1.837,14.7188,1.6914,0.0185,0.0033,0.0118,0.0021,0.0171,0.0024,0.0289,0.0039,18.094543,17.395912,16.984556,16.775078
171,1,0.052511,230.9219656491059,2.666691082692337,0.6764401588998279,-10.442853835286417,11.119293994186245,34.382,1.2023,31.7543,1.4562,29.2472,1.6983,26.5332,1.9605,0.0236,0.0012,0.0149,0.0008,0.0196,0.0013,0.0329,0.0022,15.984221,15.194422,14.777854,14.50644
171,2,0.020865,230.9415084439488,2.67026416322864,-0.05782364082227964,-9.464017935286419,9.40619429446414,6.6138,2.1561,7.0061,2.3761,7.3804,2.586,7.7856,2.8133,0.0167,0.0084,0.0155,0.0066,0.0272,0.0107,0.0433,0.0171,16.3694,15.924536,15.68632,15.580132
176,1,0.01876,238.3661403755266,20.96810893908589,-0.2953547508316401,-8.560536935286416,8.265182184454776,32.6438,0.9141,32.0978,0.9682,0.0,0.0,31.0129,1.0757,0.0189,0.0011,0.0179,0.0009,0.0,0.0,0.0451,0.0025,17.553099,17.330994,,17.286705
176,4,0.026964,238.383926488009,20.96404373368178,0.033988218015776894,-8.64018473528642,8.674172953302197,7.0757,1.0444,7.6221,1.0816,0.0,0.0,8.7076,1.1555,0.0084,0.0029,0.0095,0.0022,0.0,0.0,0.026,0.0064,17.50016,17.274479,,17.167664
176,3,0.018608,238.378110723174,20.98374316650619,0.08481897585100917,-9.091520835286424,9.176339811137433,34.0218,0.8556,33.6164,0.8462,0.0,0.0,32.8109,0.8276,0.0776,0.003,0.0774,0.003,0.0,0.0,0.2015,0.0086,16.101517,15.777614,,15.528222
177,3,0.085506,238.6710601149368,30.13499826326378,0.7444527620114876,-9.415910035286412,10.1603627972979,22.0759,1.222,21.5682,1.5421,0.0,0.0,20.5596,2.1781,0.0509,0.0043,0.0434,0.0038,0.0,0.0,0.1183,0.0111,17.481043,17.026316,,16.715712
177,2,0.080229,238.6597598511432,30.12442960864697,0.7637223391831682,-9.568126735286421,10.33184907446959,18.9599,1.7763,17.875,1.9118,0.0,0.0,15.7194,2.1812,0.1826,0.022,0.1577,0.0207,0.0,0.0,0.4182,0.0587,16.976242,16.557726,,16.188278
178,1,0.117894,241.1470961474443,26.63069236201361,0.8026829871469481,-9.342854835286417,10.145537822433365,10.3096,1.9459,9.9951,1.9401,0.0,0.0,9.3704,1.9286,0.0343,0.0096,0.026,0.0072,0.0,0.0,0.0568,0.0152,18.31534,17.897104,,17.513733
178,3,0.117894,241.1727961533396,26.62605726066442,0.7364829871469425,-9.53631463528642,10.272797622433362,11.5577,0.6549,11.415,0.8137,0.0,0.0,11.1317,1.1294,0.0193,0.0024,0.0175,0.0021,0.0,0.0,0.0433,0.006,18.2355,17.759865,,17.347235
178,2,0.086508,241.1583836351159,26.61643875074898,0.5489321242246419,-10.392814135286418,10.94174625951106,7.3875,0.8603,7.2516,1.0715,0.0,0.0,6.9815,1.4913,0.0061,0.0018,0.0046,0.0013,0.0,0.0,0.0101,0.0031,17.222801,16.44265,,15.850227
178,4,0.118332,241.1895838811569,26.62182389863917,0.6438639907800905,-10.321987135286422,10.965851126066513,12.2111,2.8314,11.4408,3.2811,0.0,0.0,9.9101,4.1747,0.0302,0.008,0.0184,0.0051,0.0,0.0,0.0437,0.0141,17.69412,16.97532,,16.3756
185,1,0.030818,312.4597627874764,-48.90955213886949,0.25562848273820116,-9.011522035286417,9.267150518024618,9.9522,0.5376,9.7578,0.6956,9.5724,0.8463,9.3716,1.0095,0.0084,0.0021,0.0059,0.0011,0.0096,0.0021,0.0158,0.0039,16.869287,16.546257,16.434608,16.33262
185,2,0.030818,312.4743758264021,-48.89632833344687,-0.1511315172618044,-9.59920153528642,9.448070018024616,8.3385,1.502,8.8669,1.8135,9.3711,2.1107,9.9168,2.4324,0.0293,0.0082,0.0272,0.0068,0.0508,0.0122,0.082,0.0198,17.82498,17.27871,16.909124,16.776316
185,3,0.030818,312.5027975457372,-48.91636992468332,0.20334848273819794,-9.741997335286419,9.945345818024617,16.3301,0.908,16.7771,0.995,17.2036,1.078,17.6653,1.1678,0.0114,0.0014,0.0094,0.0008,0.0165,0.0015,0.0267,0.0026,16.29375,15.75779,15.492482,15.349828
185,4,0.030818,312.5096419987884,-48.89807021969206,-0.5043315172618019,-9.448180335286416,8.943848818024614,32.1126,0.5236,31.4373,0.6267,30.793,0.7251,30.0955,0.8316,0.0106,0.0007,0.0076,0.0004,0.0121,0.0007,0.02,0.0013,18.210417,17.799696,17.560822,17.479977
186,1,0.094365,314.472846415685,-24.96240135644899,0.748241469563645,-10.114205635286417,10.862447104850062,25.6648,2.7396,0.0,0.0,18.8805,3.3985,15.2947,3.7467,0.2215,0.0188,0.0,0.0,0.1178,0.0157,0.1873,0.0238,17.656069,,16.523489,16.266678
186,3,0.094365,314.4895706185349,-24.94810710824377,0.5287214695636422,-10.23733973528642,10.766061204850063,5.4471,0.9389,0.0,0.0,5.7368,0.9464,5.8899,0.9503,0.0097,0.0066,0.0,0.0,0.0074,0.0035,0.0112,0.0059,17.670563,,16.52233,16.363525
186,4,0.094365,314.4941688273316,-24.96287790106267,0.7296414695636386,-9.578018235286423,10.307659704850062,nan,6.8073,0.0,0.0,1.1671,nan,1.7585,nan,nan,4.3741,0.0,0.0,0.0972,nan,0.1522,nan,17.85424,,17.002031,16.897139
188,2,0.055752,314.8554311159941,-60.65726601337487,0.6190204841059508,-9.69549053528642,10.31451101939237,12.6667,1.4227,13.2796,1.554,13.8643,1.6794,14.4973,1.815,0.0225,0.0035,0.0153,0.0022,0.0265,0.0034,0.0448,0.0058,16.647337,16.075956,15.882255,15.707335
188,3,0.055752,314.8658029127148,-60.67951356115095,0.7673404841059526,-9.505734135286417,10.27307461939237,26.0321,4.1715,26.9401,5.0788,27.8064,5.9445,28.7443,6.8817,0.0875,0.0104,0.0476,0.0057,0.0807,0.0092,0.1465,0.0167,16.467865,15.955711,15.784091,15.630795
188,1,0.055752,314.848228737484,-60.66764493567462,0.7755804841059533,-10.719398135286417,11.49497861939237,nan,0.8745,nan,1.6494,nan,2.3888,nan,3.1892,nan,0.1291,nan,0.1322,nan,0.1569,nan,0.1984,15.004222,14.187501,13.844487,13.588564
190,3,0.073594,319.5107844473522,-50.76681690602447,0.9111843979879559,-9.427137735286419,10.338322133274374,26.2784,0.759,27.6169,1.0137,28.8941,1.2567,30.2765,1.5198,0.0423,0.0021,0.0495,0.0023,0.0866,0.004,0.1336,0.0062,16.467909,16.044891,15.840464,15.790747
190,2,0.073594,319.5052541550052,-50.73937955580364,0.4825843979879565,-9.652979935286416,10.135564333274372,10.3951,0.9253,10.2129,1.165,10.0391,1.3938,9.8509,1.6414,0.0204,0.0035,0.0182,0.0031,0.0294,0.0054,0.046,0.0086,17.680338,17.159998,16.854946,16.746618
194,1,0.067693,330.1682493429522,-42.81854129533422,0.3515871040197265,-9.979388335286421,10.330975439306147,15.8099,0.9135,14.858,0.8448,13.9497,0.7793,12.9665,0.7083,0.0851,0.0089,0.0487,0.0041,0.0693,0.007,0.1234,0.0135,17.18173,16.603062,16.333508,16.185678
194,4,0.067693,330.211453243805,-42.8283383241871,0.5647471040197249,-9.89549723528642,10.460244339306145,17.1391,0.73,16.8254,0.8305,16.5261,0.9264,16.2021,1.0302,0.0106,0.0014,0.0058,0.0007,0.0091,0.0012,0.0165,0.0022,16.89755,16.29442,16.0295,15.887319
194,3,0.067693,330.1994831215273,-42.81518002453856,0.022347104019727837,-9.031076235286418,9.053423339306146,9.3017,1.0781,8.6474,1.665,8.0231,2.225,7.3473,2.8312,0.0048,0.0014,0.0025,0.0008,0.004,0.0016,0.0074,0.0028,19.854147,19.351992,19.169195,19.047718
194,2,0.067693,330.1806055696276,-42.82142188853504,0.3960271040197245,-10.60549333528642,11.001520439306145,20.0364,0.5641,19.64,0.6829,19.2619,0.7963,18.8525,0.9191,0.0107,0.0009,0.0067,0.0004,0.0105,0.0008,0.018,0.0016,16.523632,15.761133,15.434895,15.157302
195,4,0.07177,330.6448439367783,-22.90050394610396,0.3499854735468979,-9.66854523528642,10.018530708833318,11.7316,0.4372,11.7757,0.5385,11.8177,0.6351,11.8633,0.7397,0.0085,0.0012,0.007,0.0008,0.0122,0.0017,0.0197,0.0029,17.851883,17.31471,17.09954,16.94236
196,2,0.0342,332.1291946514334,-57.30171219464453,0.288191793194537,-9.447585235286416,9.735777028480953,28.4863,1.2792,28.2892,1.382,28.1013,1.48,27.8978,1.5861,0.0219,0.0013,0.0175,0.001,0.031,0.0017,0.0508,0.0029,16.483223,16.029547,15.813668,15.74314
196,4,0.0342,332.1453394502563,-57.29395170459528,0.22671179319453927,-8.956353335286419,9.183065128480958,7.4447,2.2522,7.073,2.0618,6.7183,1.8801,6.3343,1.6834,0.0327,0.0154,0.0207,0.0094,0.0321,0.0139,0.0549,0.024,17.29927,17.057917,16.757908,16.764908
196,1,0.0342,332.1212838678745,-57.27773774592522,-0.31328820680546166,-9.459722835286415,9.146434628480954,3.3591,1.1639,3.297,1.326,3.2378,1.4807,3.1737,1.6481,0.0019,0.0028,0.0013,0.0021,0.002,0.0034,0.0033,0.0057,17.858976,17.43603,17.25766,17.154385
196,3,0.0342,332.1321567400203,-57.28301894705007,-0.4310082068054637,-9.01656723528642,8.585559028480956,19.501,1.0816,19.9518,1.3352,20.3819,1.5772,20.8475,1.8391,0.049,0.004,0.05,0.004,0.092,0.0075,0.1463,0.0119,18.811441,18.478983,18.366858,18.270386
197,4,0.045558,332.2784720715445,17.82663051691459,0.2374688816053876,-8.944980335286417,9.182449216891804,27.0323,1.5287,26.5262,1.6345,0.0,0.0,25.5205,1.8448,0.017,0.0014,0.0124,0.001,0.0,0.0,0.0238,0.0017,18.032804,17.688452,,17.458696
197,1,0.045558,332.247120157879,17.8391415995514,0.015268881605390305,-10.498988235286411,10.514257116891802,14.6875,1.8968,14.777,2.3269,0.0,0.0,14.9548,3.1817,0.0388,0.0063,0.0303,0.0049,0.0,0.0,0.0726,0.0119,17.010284,16.211725,,15.597267
197,3,0.045078,332.2606291955395,17.83857412430546,0.8648688595290714,-10.161048335286416,11.025917194815488,26.2422,0.4996,26.9941,0.528,0.0,0.0,28.488,0.5845,0.0401,0.0024,0.0406,0.0021,0.0,0.0,0.0925,0.0054,15.186214,14.522442,,13.962986
199,4,0.0828,334.6864028586588,-24.19869772673049,0.627680254652029,-9.171387235286417,9.799067489938446,41.1857,1.4223,38.7232,1.5328,36.3735,1.6383,33.83,1.7525,0.0293,0.0013,0.0197,0.0008,0.0195,0.0009,0.0293,0.0014,18.297972,17.852882,17.673841,17.538633
199,2,0.0332,334.6639509486999,-24.17093920143219,0.15457574849034117,-10.728958735286417,10.883534483776758,36.631,1.7457,36.8058,1.7389,36.9726,1.7324,37.1532,1.7253,0.0479,0.0021,0.0286,0.0012,0.0393,0.0016,0.0684,0.0028,16.121918,15.251855,14.816747,14.44637
199,1,0.0828,334.6573136068217,-24.16205358286453,0.46308025465202896,-8.56556013528642,9.028640389938449,7.0723,1.0069,7.3076,0.9855,7.5321,0.9652,7.7751,0.9432,0.0125,0.0042,0.0089,0.0027,0.0136,0.0036,0.0223,0.006,23.733719,22.168388,22.065435,21.698133
201,3,0.044191,335.6026170743777,-61.26484286143308,-0.047792760234512954,-9.80724513528642,9.759452375051907,13.1792,0.846,12.6094,0.9912,12.0657,1.1297,11.4772,1.2796,0.0091,0.0014,0.0055,0.0008,0.0077,0.0012,0.0133,0.0022,17.544645,17.012247,16.739506,16.599445
201,1,0.044191,335.5829964818444,-61.29467280196997,0.11924723976549068,-9.913554535286412,10.032801775051903,27.8107,0.8172,26.5693,1.1353,25.3848,1.4387,24.1026,1.7671,0.008,0.0006,0.0047,0.0003,0.0067,0.0005,0.0116,0.0009,17.368069,16.753588,16.41647,16.238579
201,2,0.044191,335.5996443886925,-61.27986027285171,0.26252723976548786,-10.67518953528642,10.937716775051907,1.7417,2.0378,1.9301,2.3889,2.1099,2.724,2.3046,3.0867,0.0085,0.0408,0.0055,0.0248,0.0073,0.0282,0.0122,0.0479,16.031734,15.211331,14.820726,14.565534
201,4,0.044191,335.6321568483304,-61.29583388651325,-0.2500327602345127,-9.45680843528642,9.206775675051908,16.233,0.9431,16.6406,1.2702,17.0295,1.5822,17.4504,1.92,0.028,0.0027,0.0236,0.0022,0.0417,0.004,0.0674,0.0066,19.661453,19.008911,18.570517,18.448938
202,2,0.0509,336.3657338106652,-27.70253071905433,0.27581514575578225,-10.255086735286422,10.530901881042205,19.9446,1.3647,20.149,1.719,20.344,2.057,20.5551,2.4229,0.011,0.0011,0.0072,0.0007,0.0137,0.0013,0.0236,0.0023,16.806868,16.085236,15.786363,15.54024
202,3,0.186063,336.3831938210164,-27.70142831744614,1.1186596191929805,-9.37283843528642,10.4914980544794,9.4593,1.085,8.8295,1.1098,8.2286,1.1334,7.5782,1.159,0.0239,0.0049,0.0146,0.0033,0.0243,0.0064,0.0423,0.0109,18.276886,17.832067,17.667826,17.535059
204,2,0.0621,338.077933941519,-25.44826101628676,0.48556278143542464,-9.219579035286424,9.705141816721849,23.9287,0.7718,0.0,0.0,21.5373,1.0942,20.2733,1.2646,0.0773,0.0051,0.0,0.0,0.1018,0.0078,0.1548,0.0125,17.6032,,17.076073,16.954731
204,4,0.0363,338.1124436370977,-25.42637314902058,0.049632831154488244,-11.045987635286425,11.095620466440913,28.8852,1.5751,0.0,0.0,29.1137,2.4742,29.2345,2.9493,0.0327,0.0025,0.0,0.0,0.0291,0.0023,0.0489,0.0038,15.408287,,14.183406,13.869924
205,2,0.055939,338.2875656427148,-60.92516658869187,0.3343689778610486,-9.984969735286422,10.31933871314747,13.9089,4.0888,14.087,4.8504,14.2569,5.577,14.4408,6.3636,0.0228,0.006,0.012,0.0032,0.0172,0.0043,0.0319,0.0081,17.36844,16.675177,16.360298,16.164474
205,3,0.055939,338.3103637873838,-60.92873541475647,0.03596897786105124,-9.77720793528642,9.81317691314747,11.594,0.8873,11.2969,0.9545,11.0134,1.0186,10.7065,1.088,0.037,0.0052,0.028,0.0033,0.0477,0.0063,0.0785,0.011,17.689709,17.167896,16.9772,16.829065
205,1,0.055939,338.2640070806825,-60.9110502359763,0.15860897786105177,-8.65620283528642,8.814811813147472,11.0069,1.4278,9.9584,1.4608,8.9581,1.4922,7.8751,1.5262,0.0118,0.0025,0.0073,0.0014,0.0073,0.0016,0.012,0.0028,18.573833,18.387644,18.346607,18.299294
205,4,0.054818,338.3209427720652,-60.92597572467674,0.22414595414925387,-10.865665735286424,11.089811689435678,10.0325,1.5847,10.2799,1.5483,10.5159,1.5135,10.7714,1.4759,0.0125,0.0032,0.0069,0.0019,0.0101,0.0022,0.0183,0.0039,16.173151,15.32048,14.948965,14.687421
209,3,0.0744,343.2215152223864,-24.97424294348244,0.46968545217402813,-8.739034135286412,9.20871958746044,11.9641,0.8324,0.0,0.0,10.603,1.337,9.8836,1.6036,0.0137,0.0026,0.0,0.0,0.0137,0.0027,0.0213,0.0045,18.381437,,18.078485,18.043959
209,2,0.0742,343.2062039909486,-24.96546547718215,0.5301473916403214,-9.771822935286417,10.301970326926739,4.3398,4.2592,0.0,0.0,5.3422,3.6465,5.872,3.3227,0.0545,0.0888,0.0,0.0,0.0544,0.0466,0.0861,0.0698,17.469862,,16.666716,16.467876
209,1,0.079258,343.1982580892699,-24.94512935850476,0.46234579934147035,-10.93726603528642,11.39961183462789,36.7439,0.8214,0.0,0.0,31.9521,1.1948,29.4194,1.3921,0.0435,0.0022,0.0,0.0,0.0248,0.0013,0.0378,0.0021,16.960024,,15.586582,15.197649
210,3,0.0323,343.547251313443,-18.15967245883559,-0.31469537425552474,-9.443202435286414,9.12850706103089,14.676,1.0232,0.0,0.0,14.67,1.2589,14.6668,1.3835,0.0504,0.0051,0.0,0.0,0.0795,0.0081,0.121,0.0126,17.867336,,17.259737,17.130869
210,4,0.0323,343.5708158779337,-18.15614840085374,-0.17445537425552615,-9.248813835286413,9.074358461030887,4.0986,2.4196,0.0,0.0,5.0504,2.2235,5.5535,2.1199,0.0106,0.0117,0.0,0.0,0.0148,0.0081,0.0229,0.0131,18.025736,,17.412683,17.280895
213,3,0.078681,347.4462482418533,-48.58462705000017,0.4485593230207403,-9.52219093528642,9.97075025830716,8.021,0.817,7.609,0.9509,7.2159,1.0787,6.7904,1.2169,0.0091,0.0026,0.0057,0.0016,0.0076,0.0024,0.0129,0.0041,17.987684,17.49154,17.268154,17.14481
213,1,0.078681,347.4357017426645,-48.56294685068662,0.3593993230207442,-9.587556035286415,9.946955358307159,14.2253,1.2042,13.6079,1.2767,13.0188,1.3459,12.381,1.4209,0.0111,0.0016,0.0066,0.001,0.0092,0.0014,0.0161,0.0024,17.993153,17.516743,17.29809,17.169922
213,4,0.078681,347.4574403050963,-48.57106160520841,1.2003593230207397,-9.451771335286416,10.652130658307156,12.1807,0.5871,11.9277,0.7122,11.6862,0.8316,11.4248,0.9608,0.0103,0.002,0.0064,0.0012,0.0094,0.0018,0.0161,0.0032,16.35614,15.86517,15.612953,15.487118
213,2,0.078681,347.444762394276,-48.55384331812657,0.7272393230207381,-9.546474235286421,10.27371355830716,22.1153,1.1294,22.4551,1.5287,22.7793,1.9096,23.1302,2.322,0.0148,0.0011,0.0124,0.0009,0.0214,0.0016,0.0346,0.0026,17.127203,16.640392,16.412401,16.32181
214,2,0.050175,351.9120683663076,-47.05100552668689,-0.02348565659868207,-9.014501635286415,8.991015978687733,30.9031,2.3293,32.7814,2.6974,34.5736,3.0486,36.5136,3.4288,0.0362,0.0025,0.0231,0.0015,0.0408,0.0024,0.0704,0.0041,18.325823,18.044968,17.96161,17.895416
214,3,0.050175,351.9164013171111,-47.06861576056008,-0.24928565659868518,-9.33747733528642,9.088191678687735,17.2602,0.5358,17.1265,0.6253,16.999,0.7106,16.861,0.803,0.0341,0.0037,0.0233,0.002,0.0362,0.0035,0.0602,0.0064,18.702808,18.294516,18.130585,18.046974
214,1,0.050175,351.9075465511025,-47.03074114673951,-0.009085656598687208,-9.179603835286418,9.17051817868773,4.6434,1.3377,4.7527,1.3946,4.8569,1.4489,4.9698,1.5077,0.0075,0.0061,0.0047,0.0035,0.0074,0.005,0.0127,0.0089,18.333342,17.954847,17.839853,17.737017
214,4,0.050175,351.9253353517234,-47.04079402117257,0.842634343401313,-9.60204823528642,10.444682578687733,12.7065,0.7176,12.6633,0.9312,12.622,1.135,12.5774,1.3555,0.021,0.0034,0.0172,0.0022,0.0298,0.0044,0.0483,0.0076,15.798548,15.298304,15.06479,14.965635
215,1,0.1242,352.3669590000344,-32.44754306333219,0.9817027727633896,-7.274569235286419,8.256272008049809,21.463,0.7807,19.5092,1.2754,17.6449,1.7473,15.6269,2.2582,0.0347,0.0016,0.0225,0.0011,0.024,0.0019,0.0381,0.0031,20.957495,20.840631,20.718616,20.953764
215,2,0.1241,352.3715011013849,-32.427391174955,0.6150431440797259,-9.73238193528642,10.347425079366145,16.4875,0.657,14.2502,0.827,12.1154,0.9891,9.8045,1.1647,0.0208,0.001,0.0141,0.0009,0.0133,0.0014,0.0196,0.0022,18.296476,17.75395,17.470179,17.358704
215,4,0.1247,352.389367184466,-32.44844962763192,0.8691524880393509,-10.54215893528642,11.41131142332577,17.0121,0.6665,15.0113,0.756,13.1022,0.8414,11.0356,0.9339,0.048,0.0023,0.0317,0.0018,0.0319,0.0027,0.0491,0.0043,17.067713,16.223196,15.832665,15.613403
215,3,0.1256,352.3714067618029,-32.40790169684816,0.9515988598846228,-6.150087935286417,7.10168679517104,29.8896,0.3066,22.4284,0.7486,15.3094,1.1703,7.6031,1.6268,0.3751,0.0195,0.5446,0.0535,0.8987,0.1019,1.3265,0.1556,21.537489,21.396881,21.48916,22.381325
216,2,0.100413,352.534309029643,-44.20566659568149,0.8707994661181875,-9.749860235286416,10.620659701404604,3.6915,2.371,3.5782,2.1619,3.4702,1.9624,3.3533,1.7464,0.0133,0.0307,0.0086,0.0158,0.0123,0.0216,0.0206,0.0408,17.382492,16.830608,16.518034,16.361443
216,3,0.100413,352.5592353363334,-44.17708082952119,0.5109594661181891,-8.438914735286419,8.949874201404608,13.0379,0.6633,12.2184,0.8816,11.4364,1.0899,10.59,1.3154,0.0089,0.0013,0.0053,0.0007,0.0077,0.0012,0.0134,0.0022,19.128706,19.035437,19.015745,18.991566
219,1,0.151401,354.8725750680164,-38.68281662956218,1.0144770684387439,-10.373334735286424,11.387811803725167,11.4058,0.484,11.1406,0.5967,10.8876,0.7043,10.6137,0.8207,0.0101,0.0017,0.0068,0.001,0.008,0.0014,0.0127,0.0024,17.421202,16.612095,16.232141,16.012918
219,3,0.151401,354.884141158829,-38.66708450291387,1.507357068438747,-8.103309835286415,9.610666903725162,17.1819,2.5678,17.3192,3.3923,17.4502,4.1789,17.592,5.0305,0.1018,0.0162,0.0585,0.0089,0.0724,0.0124,0.1286,0.0225,19.363283,19.111113,18.782398,18.864374
219,2,0.151401,354.8820962678649,-38.66287818241952,1.2781570684387447,-7.1711803352864205,8.449337403725165,2.5951,2.3246,2.7124,2.3292,2.8243,2.3335,2.9455,2.3382,0.0063,0.0176,0.004,0.0102,0.0049,0.0122,0.0081,0.0215,20.75516,20.656763,20.573755,20.805868
219,4,0.151401,354.9000903358491,-38.66600414549488,0.8455970684387424,-10.805381835286422,11.650978903725164,17.2095,0.8457,16.7979,1.003,16.4051,1.1531,15.98,1.3156,0.0254,0.0025,0.0159,0.0015,0.0167,0.0017,0.0273,0.0029,17.52419,16.530926,16.118631,15.839213
222,3,0.0656,356.097101122869,-26.03414898592299,0.07618725983358843,-9.366423035286417,9.442610295120005,7.9864,0.489,0.0,0.0,7.3152,0.6308,6.9605,0.7057,0.0161,0.0061,0.0,0.0,0.0161,0.007,0.0256,0.0112,18.470781,,17.923212,17.788788
222,1,0.0653,356.0772525732302,-26.03991579791621,0.36748594363241693,-9.281599235286414,9.649085178918831,9.3019,0.7425,0.0,0.0,9.407,0.8217,9.4626,0.8636,0.0121,0.0036,0.0,0.0,0.0149,0.0035,0.0224,0.0058,17.869967,,17.325441,17.215128
222,4,0.0473,356.1180250548215,-26.03973882423549,0.7399018625578915,-9.573676635286418,10.31357849784431,13.4464,1.1301,0.0,0.0,13.2706,1.6674,13.1776,1.9513,0.0088,0.0013,0.0,0.0,0.012,0.0018,0.0182,0.0028,16.203327,,15.504038,15.295814
223,3,0.004003,357.5307058824425,-47.1908624101798,-1.4915292387075239,-10.47947873528642,8.987949496578898,46.312,3.3246,50.0284,3.8814,53.5744,4.4126,57.4129,4.9877,0.0691,0.0034,0.0402,0.002,0.0555,0.0024,0.098,0.0041,15.277063,14.516133,14.177931,13.961535
223,4,0.004003,357.5591551925609,-47.17951822743905,-2.0334892387075225,-10.21475823528642,8.181268996578897,10.5565,1.0906,10.1492,1.3361,9.7605,1.5705,9.3397,1.8241,0.0042,0.001,0.0025,0.0006,0.0034,0.0008,0.0058,0.0014,17.236479,16.523172,16.15034,15.941782
223,2,0.065619,357.5177725993774,-47.17147447864551,1.066358796431608,-9.573100735286413,10.639459531718021,14.6612,1.1033,13.9984,1.3263,13.3659,1.5391,12.6814,1.7694,0.0168,0.0021,0.0105,0.0013,0.0123,0.0016,0.0206,0.0028,16.092875,15.573241,15.353812,15.187759
223,1,0.004003,357.5073170890037,-47.1479227381393,-2.2216492387075233,-8.822110135286419,6.600460896578896,10.4462,0.5323,10.5866,0.5735,10.7206,0.6129,10.8657,0.6554,0.0319,0.0047,0.0273,0.0025,0.0366,0.0043,0.0541,0.0078,18.984982,18.677286,18.563356,18.491564
224,1,0.080446,357.8025875200315,20.57623254962149,0.6558684903547114,-9.418284935286415,10.074153425641127,53.7899,0.7542,52.3656,0.8608,0.0,0.0,49.5355,1.0725,0.0385,0.001,0.0375,0.001,0.0,0.0,0.0907,0.0026,17.630444,17.176855,,16.84099
224,2,0.017949,357.8276669537565,20.57793421512811,0.30934009620568403,-9.333990735286418,9.643330831492102,22.3121,4.9667,20.2657,4.5187,0.0,0.0,16.1994,3.6286,0.0181,0.0028,0.0118,0.0018,0.0,0.0,0.0107,0.0021,15.476662,15.031913,,14.677578
224,3,0.018369,357.840413582652,20.57396363703894,0.03235060939305612,-9.070477535286418,9.102828144679474,31.0091,0.6959,31.2139,0.7189,0.0,0.0,31.621,0.7646,0.0614,0.0025,0.065,0.0026,0.0,0.0,0.1643,0.0071,16.30631,15.951977,,15.715166
224,4,0.018483,357.8615641601616,20.586124635675,0.06936450810841599,-11.041752835286413,11.11111734339483,12.969,0.8453,12.9238,0.8988,0.0,0.0,12.8339,1.0051,0.029,0.0048,0.0278,0.004,0.0,0.0,0.0684,0.0115,14.246667,13.290901,,12.583652
