brickid,brickname,objid,type,ra,dec,ebv,flux_g,flux_r,flux_i,flux_z,psfsize_g,psfsize_r,psfsize_i,psfsize_z,sersic,sersic_ivar,shape_r,shape_r_ivar,shape_e1,shape_e1_ivar,shape_e2,shape_e2_ivar,mag_g,mag_r,mag_i,mag_z,mag_w1,mag_w2,mag_w3,mag_w4,g_r,r_i,r_z,i_z,index
351128,1508p035,8442,SER,150.831185422232,3.554372723042924,0.019287813,86.643135,126.97433,146.50198,161.59633,1.1839077,1.3294698,1.0357596,1.3192325,0.5,3347950.2,2.1089544,6210596.0,-0.11446073,2.8626396E7,-0.15066953,3.5602676E7,17.655664,17.24071,17.085392,16.978922,17.439648,17.785814,15.432492,11.649938,0.41495514,0.1553173,0.2617874,0.10647011,1828
326058,0026m007,871,SER,2.509425107638705,-0.6350121198475236,0.052905004,148.04272,218.92319,253.99413,290.57654,1.1069494,1.1926783,1.177214,1.0491788,3.4434566,199978.48,5.6103635,197178.89,0.24570063,1.243716E7,0.27334106,1.2751713E7,17.074032,16.649271,16.487942,16.341848,17.113596,17.699402,,8.794527,0.42476082,0.16132927,0.30742264,0.14609337,1867
338809,3103p012,2302,SER,310.3115427334102,1.179809710065348,0.085448466,109.56994,171.32944,0.0,232.43071,1.6585854,1.269717,0.0,1.4324732,1.4059958,86658.3,4.2377462,77825.77,0.33494925,2806764.2,-0.0029684114,1350989.8,17.400772,16.91542,Infinity,16.584267,17.117405,17.614588,16.299913,13.452463,0.48535156,Infinity,0.33115387,Infinity,1723
325310,1756m010,4785,SER,175.64520274884,-1.110600268855024,0.016495809,69.3121,109.82346,137.51588,152.84312,1.3591921,1.2460569,1.3659115,1.8402218,0.8793242,124352.62,5.6108723,855480.8,-0.45111144,4204356.0,0.4529552,5283426.0,17.897978,17.398262,17.154118,17.039385,17.380375,17.898659,16.349976,,0.4997158,0.24414444,0.35887718,0.11473274,1777
387050,1877p097,6815,SER,187.7668822083667,9.76030599637275,0.019838747,104.40038,157.03896,193.64163,210.33405,1.4217256,1.3372968,1.2548897,1.2900848,0.95965326,375481.1,4.9661937,153175.47,0.24374709,6590241.0,0.026865443,2694895.2,17.453245,17.009981,16.782503,16.692726,17.3906,17.98927,17.11755,13.264018,0.443264,0.22747803,0.31725502,0.08977699,1837
503586,1330p315,1784,SER,132.9682978606445,31.58485755140394,0.024775062,111.21564,198.08716,0.0,301.4486,1.9255818,1.5995907,0.0,1.3009428,0.82929975,220459.48,1.4214195,2305511.2,0.11844162,5606459.0,-0.16198027,6124314.5,17.384584,16.757858,Infinity,16.301968,16.525354,16.998363,14.887348,14.616921,0.62672615,Infinity,0.45589066,Infinity,1825
326039,3578m010,781,SER,357.7669140407679,-0.9985425728267052,0.024737976,142.16684,218.6494,269.6558,292.97537,1.6604406,1.2548503,1.1623209,1.2029753,0.67158616,900474.6,5.0103683,3185420.2,-0.2713947,1.3387163E7,-0.40946072,1.7177996E7,17.118004,16.650629,16.422976,16.332922,16.841284,17.42684,16.176523,,0.4673748,0.2276535,0.31770706,0.09005356,1833
359932,1961p050,3116,REX,196.1556626893886,4.943646333734597,0.034800775,66.2668,81.656075,85.47675,89.212944,1.5231203,1.3436841,1.249729,1.2020874,1.0,0.0,1.3356493,444418.34,0.0,0.0,0.0,0.0,17.94676,17.720028,17.67038,17.62393,18.10037,18.924736,,12.482058,0.22673225,0.049648285,0.096097946,0.04644966,1860
415963,0205p150,3047,SER,20.59190120700265,14.93115730369771,0.052061744,197.81026,294.648,0.0,386.69034,1.4186503,1.5573545,0.0,1.5072349,0.8328688,269156.9,5.57744,74150.664,0.007676972,1549205.4,-0.088320024,3673780.0,16.759378,16.32674,Infinity,16.031591,16.590036,17.147589,15.328932,15.182809,0.43263817,Infinity,0.29514885,Infinity,1731
378446,1717p082,3944,SER,171.8493170082544,8.24549775286351,0.057900645,81.58476,95.23736,92.43072,100.98606,1.2625604,1.1615415,1.1506289,1.263728,0.82495284,89137.96,1.8364851,399464.6,0.028756933,1314893.4,0.33344743,2337097.8,17.720978,17.552982,17.585459,17.489346,18.25056,18.737638,18.568518,12.954244,0.16799545,-0.032476425,0.06363678,0.096113205,1717
358343,1578p047,315,SER,157.7006731583439,4.727393848359507,0.038799085,107.07891,144.73665,172.72037,176.66753,1.6928419,1.2166173,1.4598159,1.135998,1.1621201,76962.42,8.828706,13633.795,-0.35747394,3482034.8,0.64207774,5151176.0,17.42574,17.098555,16.906641,16.882109,17.454796,17.865685,17.201199,17.856941,0.32718468,0.1919136,0.21644592,0.024532318,1836
331329,2403p000,4735,DEV,240.4459741122731,0.0980619412940143,0.1329641,46.936417,86.557304,110.07886,132.32733,1.2286817,1.4473041,1.8403065,1.2818961,4.0,0.0,2.6993356,15674.218,0.061631877,147879.47,-0.06442215,141118.34,18.321226,17.65674,17.39574,17.195875,17.704315,18.713089,16.706326,,0.66448593,0.26099968,0.46086502,0.19986534,1718
396922,1760p115,1422,SER,175.9733857575596,11.46887703460753,0.03564824,66.55178,104.94049,125.55269,143.42928,1.3112947,1.1226315,1.2263516,1.255817,0.8493394,85931.33,3.4116654,96815.766,0.4877898,2616558.0,0.28718588,1993386.5,17.9421,17.447641,17.252935,17.108406,17.477793,18.023392,17.11265,14.120697,0.49445915,0.19470596,0.3392353,0.14452934,1701
332601,1983p002,1558,SER,198.3111543575811,0.2738949850355022,0.03142636,92.85213,147.50418,177.30019,203.70178,1.3529557,1.512032,1.2640104,1.3320398,1.2263485,103134.14,3.3387003,148558.16,0.2994936,2773333.5,0.15931097,1898148.4,17.58052,17.07799,16.878227,16.727512,17.264431,17.81214,16.999735,14.466315,0.50253105,0.19976234,0.35047722,0.15071487,1755
333295,0118p005,8935,SER,11.95697996021988,0.580958836346975,0.0264087,100.67822,134.14081,150.95935,165.4524,1.4905825,1.1422447,1.0980209,1.1113296,1.3127657,177227.38,1.8352169,2001694.0,-0.07402089,5430905.5,-0.07774244,5516539.5,17.49266,17.181097,17.05285,16.953318,17.425728,17.823387,16.409174,13.718382,0.3115635,0.1282463,0.22777939,0.09953308,1743
313899,2028m030,7377,REX,202.9571762172825,-2.953299590377702,0.037937753,1.8286315,3.5408344,4.8512235,6.286598,1.5979068,1.3207464,1.3457165,1.3134196,1.0,0.0,0.27070835,95106.516,0.0,0.0,0.0,0.0,21.844685,21.127235,20.785372,20.503962,19.700514,22.735636,17.166056,12.500989,0.7174492,0.34186363,0.62327385,0.28141022,1728
396872,1633p115,6399,DUP,163.2303433530173,11.53745089789927,0.021327728,0.0,0.0,0.0,0.0,1.4989386,1.2378209,1.3886204,1.1450111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,,,,,1855
273156,0330m100,6027,SER,33.07745650243472,-10.00698380567518,0.027834496,174.1942,257.78607,312.30423,329.12732,1.4537797,1.2320508,1.205245,1.1387542,1.5309564,195368.72,14.983316,7612.798,-0.08885279,1500397.6,-0.10452775,1772985.8,16.897415,16.471851,16.263556,16.20659,17.366076,18.052069,16.213902,,0.4255638,0.20829582,0.2652607,0.056964874,1868
386858,1390p097,767,SER,138.9695948343487,9.824580227175774,0.050412368,169.25822,256.8509,316.02835,342.07404,1.2317715,1.1218331,1.1319729,1.2124872,1.5523765,68481.2,7.472488,24386.172,0.21999714,1571875.0,-0.10443549,876749.0,16.928625,16.475798,16.250685,16.1647,16.847136,17.569155,16.395817,,0.45282745,0.22511292,0.3110981,0.08598518,1752
353933,1330p040,1845,SER,132.9801573796405,3.994974163446101,0.052156825,68.503845,98.68992,114.94988,125.86896,1.4169952,1.4031931,1.0051631,1.298222,1.5517228,73442.5,3.7100396,136920.78,0.28545025,2706430.2,-0.12952527,1564933.0,17.910713,17.514318,17.348728,17.250204,17.95937,18.459373,,,0.39639473,0.16559029,0.26411438,0.09852409,1774
389747,1516p102,2736,SER,151.6977254756629,10.17183128545906,0.034679208,87.24685,148.17825,187.54536,211.51453,1.5914569,1.4332321,1.3728409,1.6853821,1.0607527,86300.12,5.2236104,48171.242,-0.6715947,4405510.5,0.040508736,2673147.5,17.648125,17.073038,16.817234,16.68665,17.239868,17.825903,16.71509,,0.5750866,0.25580406,0.38638878,0.13058472,1787
